,cnpj,collected
Brametal S.A.,83.249.078/0001-71,X
Raizen Paraguacu Ltda.,52.189.420/0001-61,X
ATE II Transmissora de Energia S.A.,05.868.787/0001-21,X
Itiquira Energetica S.A.,00.185.041/0001-08,X
Energisa Borborema - Distribuidora de Energia S.A.,08.826.596/0001-95,X
Branco Peres Agro S.A.,43.619.832/0001-01,X
Dasa - Destilaria de Alcool Serra dos Aimores S.A.,18.054.379/0001-88,X
Acucar e Alcool Bandeirantes S.A.,75.619.056/0001-28,X
Umoe Bioenergy S.A.,03.445.208/0001-02,X
Empresa Luz e Forca Santa Maria S.A.,27.485.069/0001-09,X
Usina Santa Lucia S.A.,44.207.249/0001-48,X
Companhia Nacional de Energia Eletrica,61.416.244/0001-44,X
Citeluz Servicos de Iluminacao Urbana S.A.,02.966.986/0001-84,X
Ventos do Sul Energia S.A.,06.016.348/0001-53,X
Vale do Parana S.A. Alcool e Acucar,05.938.884/0001-43,X
Servgas Distribuidora de Gas S.A.,55.332.811/0001-81,X
Destilaria Generalco S.A.,44.845.915/0001-73,X
Light Esco Prestacao de Servicos S.A.,73.688.855/0001-20,unavailable
Usina Goianesia S.A.,02.460.988/0001-05,X
Companhia Sul Paulista de Energia,60.855.608/0001-20,X
AES Uruguaiana Empreendimentos S.A.,01.600.202/0001-37,X
Machadinho Energetica S.A.,03.076.274/0001-52,X
NTE - Nordeste Transmissora de Energia S.A.,04.711.350/0001-17,X
Usina Uniao e Industria S.A.,10.204.485/0001-99,X
Usina Ipojuca S.A.,10.384.022/0001-56,X
ATE Transmissora de Energia S.A.,05.875.236/0001-95,X
Japungu Agroindustrial S.A.,09.357.997/0001-06,X
Energisa Nova Friburgo - Distribuidora de Energia S.A.,33.249.046/0001-06,X
Companhia Leste Paulista de Energia,61.015.582/0001-74,X
Miriri Alimentos e Bioenergia S.A.,09.090.259/0001-45,X
Eltek Sistemas de Energia Industria e Comercio S.A.,05.843.415/0001-40,X
BP Bioenergia Itumbiara S.A.,08.517.600/0001-33,unavailable
Alcoeste Destilaria Fernandopolis S.A.,43.545.284/0001-04,unavailable
Companhia Jaguari de Energia,53.859.112/0001-69,X
Itamarati Norte S.A. Agropecuaria,03.532.447/0001-08,X
Serra da Mesa Transmissora de Energia S.A.,07.762.066/0001-68,X
Agral S.A. Agricola Aracangua,03.775.827/0001-65,X
Cemig Capim Branco Energia S.A.,04.432.851/0001-64,X
Tector Engenharia. Torres e Ferragens S.A.,06.292.402/0001-93,unavailable
Promax Produtos Maximos S.A. Industria e Comercio,61.531.620/0001-41,X
Queiroz Galvao Energetica S.A.,03.299.819/0001-90,unavailable
Intesa - Integracao Transmissora de Energia S.A.,07.799.081/0001-80,X
Tangara Energia S.A.,03.573.381/0001-96,X
Fuchs Lubrificantes do Brasil Ltda.,43.995.646/0001-69,X
Parati Petroleo S.A.,01.247.439/0001-86,X
Iaco Agricola S.A.,07.895.728/0001-78,X
LT Triangulo S.A.,07.272.615/0001-16,X
Figueira Industria e Comercio S.A.,08.391.345/0001-25,X
ATE III Transmissora de Energia S.A.,07.002.685/0001-54,X
Tenaris Confab Hastes de Bombeio S.A.,06.165.981/0001-03,X
Companhia Agricola Pontenovense,23.796.998/0001-88,X
Agroindustrial Tabu S.A.,09.053.646/0001-01,unavailable
Usina Boa Vista S.A.,07.603.999/0001-02,X
Elejor - Centrais Eletricas do Rio Jordao S.A.,04.557.307/0001-49,X
Stopetroleo S.A. Comercio de Derivados de Petroleo,09.160.226/0001-24,X
Empresa Eletrica Bragantina S.A.,60.942.281/0001-23,X
Refinaria de Petroleos de Manguinhos S.A.,33.412.081/0001-96,X
Usina Santa Fe S.A.,45.281.813/0001-35,X
Emae - Empresa Metropolitana de Aguas e Energia S.A.,02.302.101/0001-42,X
Emae - Empresa Metropolitana de Aguas e Energia S.A.,02.302.101/0001-42,X
Della Coletta Bioenergia S.A.,44.691.236/0001-97,X
Usina Central Olho D'Agua S.A.,11.797.222/0001-01,X
Usina Sao Domingos Acucar e Etanol S.A.,47.063.128/0001-68,X
Usina Acucareira Ester S.A.,60.892.098/0001-60,X
Gas Brasiliano Distribuidora S.A.,03.024.705/0001-37,X
Cocal Termoeletrica S.A.,04.813.138/0001-60,X
C.J. Energetica S.A.,04.098.073/0001-19,X
Santa Laura S.A.,07.328.431/0001-20,X
Pocos de Caldas Transmissora de Energia S.A.,08.532.971/0001-94,X
Megapetro Petroleo Brasil S.A.,02.998.543/0001-75,X
Cavan Pre-Moldado S.A.,33.039.181/0001-19,X
Renuka Vale do Ivai S.A. ,75.177.857/0001-80,X
Usina Carolo S.A. - Acucar e Alcool,55.109.474/0001-68,X
Service Energy Gestao de Energia S.A.,03.358.698/0001-00,X
Newpower Sistemas de Energia S.A.,03.171.752/0001-03,X
Servicos de Petroleo Constellation S.A.,30.521.090/0001-27,X
Usina Sao Francisco S.A.,71.324.792/0001-06,X
Floresta S.A. Acucar e Alcool,08.048.772/0001-05,X
Curua Energia S.A.,05.215.888/0001-01,X
Agro Pecuaria Furlan S.A.,56.728.058/0001-00,X
Retiro Baixo Energetica S.A.,07.783.055/0001-64,X
Ultrapar Participacoes S.A.,33.256.439/0001-39,X
Companhia Energetica do Rio Grande do Norte - Cosern,08.324.196/0001-81,X
Companhia Energetica do Rio Grande do Norte - Cosern,08.324.196/0001-81,X
Companhia Energetica do Rio Grande do Norte - Cosern,08.324.196/0001-81,X
Enerpeixe S.A.,04.426.411/0001-02,X
EDP - Comercializacao e Servicos de Energia Ltda.,04.149.295/0001-13,unavailable
Baguari I Geracao de Energia Eletrica S.A.,07.799.995/0001-41,X
Bahia PCH I S.A.,08.747.075/0001-42,X
Geracao CIII S.A.,08.274.591/0001-05,X
Goias Sul Geracao de Energia S.A.,07.836.421/0001-04,X
Maue S.A. Geradora e Fornecedora de Insumos,07.004.149/0001-98,X
Ceesam Geradora S.A.,06.990.026/0001-00,X
WEG Equipamentos Eletricos S.A.,07.175.725/0001-60,X
Lajeado Energia S.A.,03.460.864/0001-84,X
Energetica Rio Pedrinho S.A.,03.190.389/0001-73,X
Ribeirao Preto Transmissora de Energia S.A.,08.533.006/0001-36,X
CEB Geracao S.A.,04.232.314/0001-70,X
Tocantins Energetica S.A.,01.673.025/0001-19,X
Energetica Salto Natal S.A.,07.587.636/0001-20,X
Sao Pedro Energia S.A.,07.063.938/0001-08,X
Sao Simao Energia S.A.,07.063.976/0001-52,X
Interligacao Eletrica de Minas Gerais S.A.,08.580.534/0001-46,X
Eolica Pedra do Sal S.A.,08.448.356/0001-02,X
Monteverde Agro-Energetica S.A.,00.143.381/0001-68,X
Hidropower Energia S.A.,05.261.707/0001-75,X
USJ - Administracao e Participacoes S.A.,48.119.937/0001-07,X
Carangola Energia S.A.,07.063.934/0001-11,X
Jalles Machado S.A.,02.635.522/0001-95,X
Serra Negra Energetica S.A.,07.470.931/0001-00,X
EDP Energias do Brasil S.A.,03.983.431/0001-03,unavailable
OSX Brasil S.A.,09.112.685/0001-32,X
EDP Sao Paulo Distribuicao de Energia S.A.,02.302.100/0001-06,X
Barra Bioenergia S.A.,07.921.583/0001-32,X
Companhia Energetica Potiguar S.A.,09.439.128/0001-20,X
Neoenergia S.A.,01.083.200/0001-18,X
Itapebi Geracao de Energia S.A.,02.397.080/0001-96,X
Companhia de Eletricidade do Estado da Bahia - Coelba,15.139.629/0001-94,X
Companhia de Eletricidade do Estado da Bahia - Coelba,15.139.629/0001-94,X
Companhia de Eletricidade do Estado da Bahia - Coelba,15.139.629/0001-94,X
Companhia Energetica de Pernambuco - Celpe,10.835.932/0001-08,X
Companhia Energetica de Pernambuco - Celpe,10.835.932/0001-08,X
Companhia Energetica de Pernambuco - Celpe,10.835.932/0001-08,X
Termopernambuco S.A.,03.795.050/0001-09,X
Veneto Energetica S.A.,07.058.238/0001-17,X
Raizen Centroeste Acucar e Alcool Ltda.,08.619.844/0001-27,X
CC Investimentos e Participacoes S.A.,00.095.147/0001-02,unavailable
Companhia Paranaense de Gas - Compagas,00.535.681/0001-92,X
Agropecuaria Terras Novas S.A.,07.024.787/0001-70,X
Hidraulica Industrial S.A. Industria e Comercio,84.584.994/0001-20,unavailable
Liquigas Distribuidora S.A.,60.886.413/0001-47,X
EDP Renovaveis Brasil S.A.,09.334.083/0001-20,X
EDP Espirito Santo Distribuicao de Energia S.A.,28.152.650/0001-71,X
Renova Energia S.A.,08.534.605/0001-74,X
Renova Energia S.A.,08.534.605/0001-74,X
Renova Energia S.A.,08.534.605/0001-74,X
Petro Rio S.A.,10.629.105/0001-68,unavailable
Energisa Mato Grosso Distribuidora de Energia S.A.,03.467.321/0001-99,X
Energisa Mato Grosso Distribuidora de Energia S.A.,03.467.321/0001-99,X
Bonfante Energetica S.A.,06.982.746/0001-24,X
Cotipora Energetica S.A.,04.589.680/0001-81,X
Maggi Energia S.A.,03.908.754/0001-32,X
Arrepar Participacoes S.A.,61.095.048/0001-15,X
Centrais Eletricas de Pernambuco S.A. - Epesa,06.212.748/0001-34,X
Baixada Santista Energia S.A.,03.059.729/0001-21,X
Eolica Formosa Geracao e Comercializacao de Energia S.A.,05.532.529/0001-70,X
Celesc Geracao S.A.,08.336.804/0001-78,X
ECTE - Empresa Catarinense de Transmissao de Energia S.A.,03.984.987/0001-14,X
Porto Primavera Transmissora de Energia S.A.,07.081.291/0001-39,X
Companhia Luz e Forca de Mococa,52.503.802/0001-18,X
Artemis Transmissora de Energia S.A.,05.875.119/0001-21,X
Da Ilha Energetica S.A.,07.058.327/0001-63,X
Bioenergia Cogeradora S.A.,04.250.671/0001-61,X
Itajubara S.A. - Acucar e Alcool,06.110.605/0001-11,X
Lasa - Linhares Agroindustrial S.A.,27.291.400/0001-50,X
Buriti Energia S.A.,05.216.699/0001-45,X
Posto Usina Sao Domingos - Comercio de Combustiveis e Servicos S.A.,09.027.401/0001-00,X
Rialma Companhia Energetica II S.A.,05.365.005/0001-31,X
Rialma Companhia Energetica III S.A.,06.572.941/0001-86,X
Eletram - Eletricidade da Amazonia S.A.,33.069.063/0001-53,X
Raizen S.A. Bioenergia,07.362.852/0001-78,X
Usina Bom Jesus S.A.,10.785.202/0001-40,X
Nutrigas S.A.,39.793.260/0001-05,X
Rio Claro Agroindustrial S.A.,08.598.391/0001-08,X
Destilaria Veredas Industria de Acucar e Alcool Ltda.,10.452.413/0001-60,X
Brenco Companhia Brasileira de Energia Renovavel,08.070.566/0001-00,unavailable
Usina Conquista do Pontal S.A.,07.298.800/0001-80,X
Agro Energia Santa Luzia S.A.,08.906.558/0001-42,X
Usina Paineiras S.A.,27.777.903/0001-30,X
Alto Jauru Energetica S.A.,01.395.648/0001-77,X
STC - Sistema de Transmissao Catarinense S.A.,07.752.818/0001-00,X
Empresa Paraense de Transmissao de Energia S.A. - ETEP,04.416.923/0001-80,X
Hidreletrica Cachoeirao S.A.,08.596.628/0001-03,X
Monel Monjolinho Energetica S.A.,04.834.395/0001-89,X
Biogeracao Energia S.A.,05.486.723/0001-66,X
Irara Energetica S.A.,07.060.755/0001-20,X
Companhia Hidroeletrica Sao Patricio - Chesp,01.377.555/0001-10,X
Empresa Regional de Transmissao de Energia S.A. - ERTE,05.321.920/0001-25,X
Onix Geracao de Energia S.A.,06.315.183/0001-10,X
Santa Rosa S.A.,04.468.980/0001-02,X
Energisa Comercializadora de Energia Ltda.,07.685.694/0001-97,X
Rosal Energia S.A.,03.475.839/0001-74,X
Varzea do Juba Energetica S.A.,06.941.602/0001-20,X
Ombreiras Energetica S.A.,04.760.363/0001-86,X
Enerbrasil - Energias Renovaveis do Brasil S.A.,04.569.050/0001-45,X
Santa Fe Energetica S.A.,06.982.752/0001-81,X
Cemig Trading S.A.,05.263.973/0001-37,X
Riachao Energetica S.A.,06.571.745/0001-97,X
Pesqueiro Energia S.A.,04.019.594/0001-33,X
Esmeralda S.A.,07.264.588/0001-30,X
Companhia Energetica de Roraima,05.938.444/0001-96,X
Monte Serrat Energetica S.A.,06.982.741/0001-00,X
Uirapuru Transmissora de Energia S.A.,07.003.112/0001-45,X
SIIF Cinco Geracao e Comercializacao de Energia S.A.,05.367.233/0001-40,X
Geraoeste - Usinas Eletricas do Oeste S.A.,04.797.407/0001-42,X
Calheiros Energia S.A.,07.063.914/0001-40,X
Vale dos Ventos Geradora Eolica S.A.,07.869.893/0001-55,X
BVP Geradora de Energia S.A.,07.565.497/0001-34,X
Serra Paracatu Transmissora de Energia S.A.,08.626.861/0001-91,X
Lumitrans - Companhia Transmissora de Energia Eletrica,05.973.734/0001-70,unavailable
Energetica Corumba III S.A.,04.631.430/0001-62,X
Usina Bazan S.A.,55.109.565/0001-01,X
Subsea7 Gestao Brasil S.A. ,42.153.155/0001-08,X
Temape - Terminais Maritimos de Pernambuco S.A.,02.639.582/0001-86,X
Linha Emilia Energetica S.A.,04.502.673/0001-09,X
Usina Sao Jose da Estiva S.A. - Acucar e Alcool,53.172.300/0001-14,X
Usina Alta Mogiana S.A. - Acucar e Alcool,53.009.825/0001-33,X
Usina Santa Adelia S.A.,50.376.938/0001-89,X
Usina Santa Isabel S.A.,47.524.632/0001-18,X
Companhia Agricola Colombo,49.991.599/0001-61,X
Petrobahia S.A.,01.125.282/0001-16,X
Sa Carvalho S.A.,03.907.799/0001-92,X
Amapari Energia S.A.,08.815.601/0001-64,X
Companhia Energetica de Petrolina,04.811.856/0001-06,X
Companhia Forca e Luz do Oeste,77.882.504/0001-07,X
Cachoeira Paulista Transmissora de Energia S.A.,05.336.882/0001-84,X
Companhia Energetica Chapeco - CEC,04.041.804/0001-90,X
Usina Colombo S.A. Acucar e Alcool,44.330.975/0001-53,unavailable
Horizontes Energia S.A.,04.451.926/0001-54,X
Pioneiros Termoeletrica Sud Mennucci S.A.,10.235.063/0001-80,X
Piratini Energia S.A.,03.932.239/0001-98,X
Gas Natural Sao Paulo Sul S.A.,02.863.830/0001-78,X
Refinaria de Petroleo Riograndense S.A.,94.845.674/0001-30,X
Petrobras Logistica de Exploracao e Producao S.A.,04.207.640/0001-28,X
Energisa Sergipe - Distribuidora de Energia S.A.,13.017.462/0001-63,X
Clealco Acucar e Alcool S.A.,45.483.450/0001-10,X
Virgolino de Oliveira S.A. - Acucar e Alcool,49.911.589/0001-79,X
Abengoa Bioenergia Brasil S.A.,05.914.367/0001-34,X
ALE Combustiveis S.A.,01.136.598/0001-03,X
Usina Batatais S.A. - Acucar e Alcool,54.470.679/0001-01,X
SOG Oleo e Gas S.A.,07.639.071/0001-88,X
CEG Rio S.A.,01.695.370/0001-53,X
Usina Termeletrica Norte Fluminense S.A.,03.258.983/0001-59,X
BSBios Marialva Industria e Comercio de biodiesel Sul Brasil S.A.,10.932.276/0001-61,X
Usina Paulista Queluz de Energia S.A.,06.976.417/0001-70,X
Usina Alto Alegre S.A. - Acucar e Alcool,48.295.562/0001-36,X
Tereos Acucar e Energia Sao Jose S.A.,05.266.880/0001-66,X
Santa Cruz S.A. - Acucar e Alcool,43.948.488/0001-96,X
Enel Cien S.A.,01.983.856/0001-97,X
Light Energia S.A.,01.917.818/0001-36,X
Serra do Facao Energia S.A.,07.727.966/0001-74,X
EBTE - Empresa Brasileira de Transmissao de Energia S.A.,10.319.371/0001-94,X
Enel Green Power Cachoeira Dourada S.A.,01.672.223/0001-68,X
NC Energia S.A.,04.023.261/0001-88,X
Baesa-Energetica Barra Grande S.A.,04.781.143/0001-39,X
Acucareira Quata S.A.,60.855.574/0001-73,X
Companhia Tecnica de Comercializacao de Energia S.A.,04.169.257/0001-22,X
Empresa Amazonense de Transmissao de Energia S.A. - EATE,04.416.935/0001-04,X
Usina Santo Antonio S.A.,71.324.784/0001-51,X
Usina Acucareira S. Manoel S.A.,60.329.174/0001-24,X
Centrais Eletricas de Santa Catarina S.A.,83.878.892/0001-55,X
Centrais Eletricas de Santa Catarina S.A.,83.878.892/0001-55,X
Companhia de Transmissao Centroeste de Minas,07.070.850/0001-05,X
Ibirama Energetica S.A.,05.515.009/0001-59,X
Cravari Geracao de Energia S.A.,08.703.867/0001-15,X
STN - Sistema de Transmissao Nordeste S.A.,05.991.437/0001-58,X
Norte Energia S.A.,12.300.288/0001-07,X
Porto do Pecem Geracao de Energia S.A.,08.976.495/0001-09,X
Rio Verde Energia S.A.,05.252.008/0001-69,X
Estacao Transmissora de Energia S.A.,10.515.520/0001-90,X
Empresa de Transmissao de Energia do Rio Grande do Sul S.A. - RS Energia,07.753.727/0001-99,X
Inambari Geracao de Energia S.A.,09.630.890/0001-90,X
Rio Canoas Energia S.A.,11.316.814/0001-56,X
Techint Engenharia e Construcao S.A.,61.575.775/0001-80,X
MGE Transmissao S.A.,11.638.929/0001-67,X
Centrais Eletricas da Paraiba S.A.,10.366.780/0001-41,X
Companhia Pernambucana de Gas - Copergas,41.025.313/0001-81,X
CTEEP - Companhia de Transmissao de Energia Eletrica Paulista,02.998.611/0001-04,X
CTEEP - Companhia de Transmissao de Energia Eletrica Paulista,02.998.611/0001-04,X
Cesp - Companhia Energetica de Sao Paulo,60.933.603/0001-78,X
Cesp - Companhia Energetica de Sao Paulo,60.933.603/0001-78,X
Cesp - Companhia Energetica de Sao Paulo,60.933.603/0001-78,X
Rio Paranapanema Energia S.A.,02.998.301/0001-81,X
Rio Paranapanema Energia S.A.,02.998.301/0001-81,X
Companhia Piratininga de Forca e Luz,04.172.213/0001-51,X
Equatorial Energia S.A.,03.220.438/0001-73,X
Santo Antonio Energia S.A.,09.391.823/0001-60,X
Energisa S.A.,00.864.214/0001-06,X
Energisa S.A.,00.864.214/0001-06,X
Energisa S.A.,00.864.214/0001-06,X
Acucareira Zillo Lorenzetti S.A.,51.422.988/0001-18,X
Brasnorte Transmissora de Energia S.A.,09.274.998/0001-97,X
Transportadora Brasileira Gasoduto Bolivia-Brasil S.A.- TBG,01.891.441/0001-93,X
Brasil PCH S.A.,07.314.233/0001-08,X
Retiro Velho Energetica S.A.,07.060.739/0001-38,X
Atlantic Energias Renovaveis S.A.,11.489.312/0001-27,X
Usina Barra Grande de Lencois S.A.,51.422.921/0001-83,X
Redentor Energia S.A.,12.126.500/0001-53,X
Multi Energisa Servicos S.A.,03.455.071/0001-77,X
Rosa dos Ventos Geracao e Comercializacao de Energia S.A.,04.768.465/0001-48,X
Martifer Renovaveis. Geracao de Energia e Participacoes S.A.,09.277.049/0001-60,unavailable
Dona Francisca Energetica S.A.,02.832.860/0001-17,X
Petroleo Sabba S.A.,04.169.215/0001-91,X
CPFL Energias Renovaveis S.A.,08.439.659/0001-50,X
AES Tiete Energia S.A.,04.128.563/0001-10,X
AES Tiete Energia S.A.,04.128.563/0001-10,X
AES Tiete Energia S.A.,04.128.563/0001-10,X
Rede Energia Participacoes S.A.,61.584.140/0001-49,X
CPFL Energia S.A.,02.429.144/0001-93,X
Empresa de Eletricidade Vale Paranapanema S.A.,60.876.075/0001-62,X
PCHPAR Participacoes S.A.,07.628.569/0001-45,X
Equatorial Maranhao Distribuidora de Energia S.A.,06.272.793/0001-84,X
Equatorial Maranhao Distribuidora de Energia S.A.,06.272.793/0001-84,X
Equatorial Maranhao Distribuidora de Energia S.A.,06.272.793/0001-84,X
Terra Santa Agro S.A.,05.799.312/0001-20,unavailable
Companhia Estadual de Energia Eletrica Participacoes - CEEE-Par,08.420.472/0001-05,X
Energimp S.A. ,03.791.796/0001-36,X
ESBR Participacoes S.A. ,10.338.314/0001-52,X
Ampla Energia e Servicos S.A.,33.050.071/0001-58,X
Companhia Energetica do Ceara,07.047.251/0001-70,X
Companhia Energetica do Ceara,07.047.251/0001-70,X
Companhia Energetica do Ceara,07.047.251/0001-70,X
Companhia de Gas de Sao Paulo - Comgas,61.856.571/0001-17,X
Companhia de Gas de Sao Paulo - Comgas,61.856.571/0001-17,X
LightCom Comercializadora de Energia S.A.,11.315.117/0001-80,X
Enauta Participacoes S.A.,11.669.021/0001-10,
PCH Holding S.A.,09.640.711/0001-03,
AES Elpa S.A.,01.917.705/0001-30,
Dobreve Energia S.A.,10.827.444/0001-59,
Companhia Paranaense de Energia,76.483.817/0001-20,
Companhia Paranaense de Energia,76.483.817/0001-20,
Companhia Paranaense de Energia,76.483.817/0001-20,
Petra Energia S.A.,07.243.291/0001-98,
Interligacao Eletrica Pinheiros S.A.,10.260.820/0001-76,
Interligacao Eletrica Serra do Japi S.A.,10.960.725/0001-85,
Gera Maranhao - Geradora de Energia do Maranhao S.A.,09.110.880/0001-23,
Goias Transmissao S.A.,11.708.279/0001-89,
BME Energia S.A.,08.696.648/0001-56,
BME - Capao da Convencao Energia S.A.,08.927.905/0001-13,
Eletrocar - Centrais Eletricas de Carazinho S.A.,88.446.034/0001-55,
Termeletrica Viana S.A.,09.043.782/0001-10,
Biooleo Industrial e Comercial S.A.,08.892.216/0001-10,
Cruz Alta Energia Eolica S.A.,08.723.018/0001-23,
Aquibata Energia Eolica S.A.,08.722.898/0001-13,
Pulpito Energia Eolica S.A.,08.720.312/0001-81,
Bom Jardim Energia Eolica S.A.,08.723.030/0001-38,
Cascata Energia Eolica S.A.,08.723.006/0001-07,
Amparo Energia Eolica S.A.,08.720.322/0001-17,
Rio de Ouro Energia Eolica S.A.,08.720.135/0001-33,
Santo Antonio Energia Eolica S.A.,08.723.060/0001-44,
Salto Energia Eolica S.A.,08.720.143/0001-80,
Campo Belo Energia Eolica S.A.,08.720.339/0001-74,
Ibitiuva Bioenergetica S.A. ,09.541.336/0001-36,
Companhia Transleste de Transmissao,05.974.828/0001-64,
Companhia Transirape de Transmissao,07.153.003/0001-04,
Companhia Transudeste de Transmissao,07.085.630/0001-55,
Centroalcool S.A.,02.896.264/0001-09,
Biogas Energia Ambiental S.A.,04.131.501/0001-68,
Pedro Afonso Acucar e Bioenergia Ltda.,09.067.572/0001-62,
Karoon Petroleo & Gas Ltda.,09.347.916/0001-97,
Ocyan S.A.,08.091.102/0001-71,
Centrais Eletricas do Para S.A. - Celpa,04.895.728/0001-80,
Centrais Eletricas do Para S.A. - Celpa,04.895.728/0001-80,
Centrais Eletricas do Para S.A. - Celpa,04.895.728/0001-80,
Centrais Eletricas do Para S.A. - Celpa,04.895.728/0001-80,
Elektro Redes S.A.,02.328.280/0001-97,
Elektro Redes S.A.,02.328.280/0001-97,
Energisa Tocantins Distribuidora de Energia S.A.,25.086.034/0001-71,
Rio Grande Energia S.A.,02.016.439/0001-38,
BI Empresa de Estudos Energeticos S.A.,09.046.829/0001-08,
Companhia Paulista de Forca e Luz ,33.050.196/0001-88,
CPFL Geracao de Energia S.A.,03.953.509/0001-47,
Ecovix - Engevix Construcoes Oceanicas S.A.,11.754.525/0001-39,
State Grid Brazil Holding S.A.,11.938.558/0001-39,
Candeias Energia S.A.,09.497.818/0001-36,
Statkraft Energias Renovaveis S.A.,00.622.416/0001-41,
Queiroz Galvao Exploracao e Producao S.A.,11.253.257/0001-71,
J. Malucelli Energia S.A.,04.407.406/0001-44,
Eletrobras Participacoes S.A.,01.104.937/0001-70,
RR Comercializadora de Energia e Participacoes S.A.,08.773.135/0001-00,
Companhia Municipal de Energia e Iluminacao - Rioluz,27.639.533/0001-74,
Queiroz Galvao Energia S.A.,02.538.782/0001-42,
Eneva S.A.,04.423.567/0001-21,
Chapecoense Geracao S.A. ,07.829.836/0001-42,
Alphatec S.A.,05.928.067/0001-04,
Ritz do Brasil S.A.,17.157.603/0001-02,
Ampla Investimentos e Servicos S.A.,07.809.905/0001-56,
Brookfield Energia Renovavel Minas Gerais S.A.,02.260.955/0001-03,
Brennand Energia S.A,10.532.985/0001-50,
Sonangol Starfish Oil & Gas S.A.,03.347.723/0001-50,
SGBH Expansao Participacoes Ltda.,12.117.536/0001-70,
Brennand Investimentos S.A.,04.184.774/0001-70,
Inepar Energia S.A.,02.225.714/0001-23,
ISA Capital do Brasil S.A.,08.075.006/0001-30,
WF 2 Holding S.A.,10.663.567/0001-00,
Energisa Paraiba - Distribuidora de Energia S.A.,09.095.183/0001-40,
Termoverde Salvador S.A.,10.267.349/0001-48,
Jauru Transmissora de Energia S.A.,08.583.456/0001-33,
Barra do Brauna Energetica S.A.,04.987.866/0001-99,
Central Eolica Volta do Rio S.A.,07.063.713/0001-43,
Planalto Energetica S.A.,07.953.660/0001-36,
Alcon - Companhia de Alcool Conceicao da Barra,30.974.737/0001-76,
Ludesa Energetica S.A.,05.313.891/0001-50,
Flexomarine S.A.,02.746.406/0001-43,
Campos Novos Energia S.A.,03.356.967/0001-07,
Borborema Energetica S.A.,09.036.424/0001-80,
Iracema Transmissora de Energia S.A.,09.250.729/0001-90,
Brilhante Transmissora de Energia S.A.,10.552.848/0001-87,
Coqueiros Transmissora de Energia S.A.,10.242.700/0001-46,
Araraquara Transmissora de Energia S.A.,10.542.659/0001-23,
Catxere Transmissora de Energia S.A.,10.542.732/0001-67,
Linha Verde Transmissora de Energia S.A.,10.995.784/0001-99,
Pedras Transmissora de Energia S.A.,10.242.524/0001-42,
Lumbras Energetica S.A.,08.431.936/0001-89,
Foz do Rio Claro Energia S.A.,07.823.262/0001-03,
Empresa de Transmissao do Espirito Santo S.A.,08.600.252/0001-63,
Maracanau Geradora de Energia S.A.,09.047.261/0001-31,
Central Eolica Praia do Morgado S.A.,07.063.963/0001-83,
Interligacao Eletrica Norte e Nordeste S.A.,09.276.712/0001-02,
Central Eolica Praias de Parajuru S.A.,07.063.748/0001-82,
Interligacao Eletrica Sul S.A.,10.261.111/0001-05,
Companhia de Gas do Estado do Rio Grande do Sul - Sulgas,72.300.122/0001-04,
Eletrosul Centrais Eletricas S.A.,00.073.957/0001-68,
Repsol Sinopec Brasil S.A.,02.270.689/0001-08,
Zema Companhia de Petroleo,00.647.154/0001-70,
Companhia Ultragaz S.A.,61.602.199/0001-12,
Pedra Agroindustrial S.A.,71.304.687/0001-05,
Interligacao Eletrica do Madeira S.A.,10.562.611/0001-87,
Celesc Distribuicao S.A.,08.336.783/0001-90,
Manati S.A.,07.063.991/0001-09,
Copel Geracao e Transmissao S.A.,04.370.282/0001-70,
Copel Distribuicao S.A.,04.368.898/0001-06,
Eletrobras Termonuclear S.A. - Eletronuclear,42.540.211/0001-67,
Celg Distribuicao S.A.,01.543.032/0001-04,
Companhia de Gas da Bahia - Bahiagas,34.432.153/0001-20,
Centrais Eletricas de Rondonia S.A. ,05.914.650/0001-66,
Companhia Energetica do Piaui - Cepisa,06.840.748/0001-89,
Inepar Administracao e Participacoes S.A.,45.542.602/0001-09,
Transmissora Alianca de Energia Eletrica S.A.,07.859.971/0001-30,
Transmissora Alianca de Energia Eletrica S.A.,07.859.971/0001-30,
Transmissora Alianca de Energia Eletrica S.A.,07.859.971/0001-30,
Furnas Centrais Eletricas S.A.,23.274.194/0001-19,
Iesa Oleo & Gas S.A.,07.248.576/0001-11,
Wind Power Energia S.A.,08.528.337/0001-88,
M & N Participacoes S.A.,08.905.440/0001-08,
Infinity Bio-Energy Brasil Participacoes S.A.,07.704.069/0001-45,
Adecoagro Brasil Participacoes S.A.,07.835.579/0001-51,
Quip S.A.,07.211.747/0001-38,
MS Administracao e Participacoes S.A.,02.914.734/0001-01,
Atvos Agroindustrial Investimentos S.A.,11.218.273/0001-23,
Enel Brasil S.A.,07.523.555/0001-67,
Biosev S.A.,15.527.906/0001-36,
Sao Martinho S.A.,51.466.860/0001-56,
Cooperativa de Produtores de Cana-de-Acucar. Acucar e Alcool do Estado de Sao Paulo,61.149.589/0001-89,
CGTF - Central Geradora Termeletrica Fortaleza S.A.,04.659.917/0001-53,
Hidrotermica S.A.,02.281.472/0001-95,
Tereos Acucar e Energia Brasil S.A.,47.080.619/0001-17,
Companhia Mineira de Acucar e Alcool Participacoes,08.493.364/0001-62,
Cosan S.A. ,50.746.577/0001-15,
Tereos Internacional S.A.,11.566.501/0001-56,
